"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	3	523.5	916	87	"UnStained"
"2"	4	528.5	925.5	128	"UnStained"
"3"	5	532	928.5	150	"Alive"
"4"	6	529.5	927	124	"UnStained"
"5"	7	532.5	929.5	179	"Alive"
"6"	8	536.5	935	119	"Alive"
"7"	9	535.5	939.5	123	"Alive"
"8"	10	534	936	93	"Alive"
"9"	11	522	924.5	87	"Alive"
"10"	12	554.5	905.5	176	"Alive"
"11"	13	549.5	900	177	"Alive"
"12"	14	562	897	182	"Alive"
"13"	15	572	903.5	199	"Alive"
"14"	16	558.5	904.5	170	"Alive"
"15"	17	558.5	909	217	"Alive"
