"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	21	777	412.5	105	"Alive"
"2"	22	773.5	429.5	99	"Alive"
"3"	23	764	433	687	"Alive"
"4"	24	773.5	429.5	388	"Dead"
"5"	25	769.5	434.5	199	"Dead"
"6"	26	765.5	434.5	294	"Dead"
"7"	27	779.5	440	160	"Alive"
"8"	28	775.5	442	358	"Dead"
"9"	29	782.5	443.5	112	"Dead"
"10"	30	779	436.5	196	"Dead"
"11"	31	773	434.5	110	"Alive"
"12"	32	777	434	104	"Alive"
"13"	33	781.5	415.5	107	"Alive"
"14"	34	776.5	423	122	"Alive"
"15"	35	779	420.5	314	"Alive"
"16"	36	779.5	420	162	"Alive"
