"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	12	1082	847	152	"Alive"
"2"	13	1085	842.5	179	"Alive"
"3"	14	1084.5	832.5	162	"Alive"
"4"	15	1093	822	127	"Alive"
"5"	16	1102.5	821	122	"Alive"
"6"	17	1094.5	809	134	"Alive"
"7"	18	1091	817	94	"Alive"
"8"	19	1083.5	820.5	281	"Alive"
"9"	20	1093.5	826	122	"Alive"
"10"	21	1083.5	832	141	"Alive"
"11"	22	1078.5	830	187	"Alive"
"12"	23	1077	833.5	160	"Alive"
"13"	24	1073	839.5	91	"Alive"
"14"	25	1071.5	839	113	"Alive"
"15"	26	1077	832.5	106	"Alive"
"16"	27	1080	834.5	171	"Alive"
"17"	28	1074	830	211	"Alive"
"18"	29	1083.5	825	152	"Alive"
"19"	30	1068	825.5	245	"Alive"
