"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	15	567	230.5	157	"Alive"
"2"	16	562	243	114	"Alive"
"3"	17	567	239.5	153	"Alive"
"4"	18	567.5	241.5	143	"Alive"
"5"	19	569	240.5	177	"Alive"
"6"	20	557.5	241	138	"Alive"
"7"	21	558.5	235.5	229	"Alive"
"8"	22	561	224.5	139	"Alive"
"9"	23	549.5	229.5	107	"Dead"
"10"	24	547.5	234	216	"Dead"
"11"	25	537.5	233.5	201	"Dead"
"12"	26	550.5	229.5	189	"Dead"
"13"	27	539.5	231	153	"Dead"
"14"	28	523.5	231	325	"Dead"
"15"	29	521.5	226.5	261	"Dead"
"16"	30	525	226.5	169	"Dead"
"17"	31	538.5	227	269	"Dead"
"18"	32	533	235.5	112	"Dead"
"19"	33	535.5	233.5	105	"Dead"
"20"	34	544	238.5	86	"Dead"
"21"	35	530	246	184	"Dead"
"22"	36	531	242	133	"Dead"
