"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	3	844	976	190	"Alive"
"2"	4	839.5	985.5	212	"Alive"
"3"	5	854	990.5	150	"Alive"
"4"	6	863	983	168	"Alive"
"5"	7	862	981	179	"Alive"
"6"	8	847.5	968	229	"Alive"
"7"	9	845	947.5	238	"Alive"
"8"	10	832	944	229	"Alive"
"9"	11	828	935	243	"Alive"
"10"	12	823	930.5	110	"Alive"
"11"	13	831	934	188	"Alive"
"12"	14	827.5	933.5	197	"Alive"
"13"	15	810.5	922.5	196	"Alive"
"14"	16	839	926	132	"Alive"
"15"	17	833.5	923	161	"Alive"
"16"	18	833	918	174	"Alive"
