"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	20	159	704.5	101	"Alive"
"2"	21	155.5	695.5	120	"Alive"
"3"	22	152	691	105	"Alive"
"4"	23	152.5	688.5	141	"Alive"
"5"	24	147	687	122	"Alive"
"6"	25	129.5	693	109	"Alive"
"7"	26	122.5	694	208	"Transitional"
"8"	27	127.5	715	147	"Alive"
"9"	28	134	720.5	140	"Alive"
"10"	29	129	724	166	"Alive"
"11"	30	132.5	723.5	233	"Alive"
"12"	31	121.5	720	111	"Alive"
"13"	32	121	720.5	104	"Alive"
"14"	33	119	719.5	104	"Alive"
"15"	34	124.5	719.5	111	"Alive"
"16"	35	125.5	719.5	108	"Alive"
"17"	36	126.5	723	131	"Alive"
"18"	37	129	723.5	143	"Alive"
