"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	2	374.5	1019	196	"Alive"
"2"	3	372	1019	195	"Alive"
"3"	4	371.5	1017	196	"Alive"
"4"	5	368.5	1027	205	"Alive"
"5"	6	365	1033	215	"Alive"
"6"	7	358	1031.5	272	"Alive"
"7"	8	359.5	1036.5	189	"Alive"
"8"	9	345	1013.5	198	"Alive"
"9"	10	344.5	1003.5	206	"Alive"
"10"	11	337	1002	217	"Alive"
"11"	12	325	998	223	"Transitional"
"12"	13	324	989	145	"Alive"
"13"	14	322.5	985	157	"Alive"
"14"	15	326.5	983	148	"Alive"
"15"	16	334	973.5	174	"Alive"
