"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	7	1136	220.5	95	"Alive"
"2"	8	1146.5	222.5	121	"Alive"
"3"	9	1174.5	216	133	"Alive"
"4"	10	1182	229	179	"Alive"
"5"	11	1197.5	255.5	144	"Alive"
"6"	12	1224.5	283.5	176	"Alive"
"7"	13	1226	270.5	173	"Alive"
"8"	14	1190.5	265	122	"Alive"
"9"	15	1204.5	259.5	170	"Alive"
"10"	16	1212.5	260.5	158	"Alive"
"11"	17	1212.5	257.5	181	"Alive"
"12"	18	1220.5	251.5	225	"Alive"
"13"	19	1194.5	248	131	"Alive"
"14"	20	1197	246	116	"Alive"
"15"	21	1194	238.5	132	"Alive"
"16"	22	1193	242.5	161	"Alive"
"17"	23	1194	245	129	"Alive"
