"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	12	1294	887.5	140	"Alive"
"2"	13	1286	884.5	136	"Alive"
"3"	14	1290	871.5	143	"Alive"
"4"	15	1295.5	877	257	"Transitional"
"5"	16	1315	869	175	"Transitional"
"6"	17	1328	851.5	105	"Alive"
"7"	18	1327	855	117	"Alive"
"8"	19	1325	864	154	"Alive"
"9"	20	1303	882.5	133	"Alive"
"10"	21	1300	885	170	"Alive"
"11"	22	1295.5	883	105	"Alive"
"12"	23	1299.5	888.5	92	"Alive"
"13"	24	1312	886	193	"Alive"
"14"	25	1306.5	886.5	99	"Alive"
"15"	26	1311.5	893.5	97	"Alive"
"16"	27	1313.5	895	120	"Alive"
"17"	28	1322	904.5	415	"Alive"
"18"	29	1317	915	105	"Alive"
"19"	30	1315.5	909.5	164	"Alive"
"20"	31	1317.5	915.5	117	"Alive"
"21"	32	1310	918	117	"Alive"
"22"	33	1308.5	915.5	107	"Alive"
"23"	34	1310.5	913.5	106	"Alive"
"24"	35	1306.5	908.5	180	"Alive"
"25"	36	1313	905.5	119	"Alive"
"26"	37	1305.5	897.5	241	"Alive"
