"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	9	1240	331	183	"Alive"
"2"	10	1250	352	161	"Alive"
"3"	11	1255	360.5	174	"Alive"
"4"	12	1290	385	172	"Alive"
"5"	13	1286	371	181	"Alive"
"6"	14	1295.5	417	309	"Transitional"
"7"	15	1269.5	451	168	"Alive"
"8"	16	1278.5	419	206	"Alive"
"9"	17	1255.5	390	234	"Alive"
"10"	18	1263	378	144	"Alive"
"11"	19	1264.5	385	203	"Alive"
"12"	20	1255	388.5	113	"Alive"
"13"	21	1272.5	375.5	374	"Alive"
"14"	22	1268	387	211	"Alive"
"15"	23	1271.5	392	188	"Alive"
"16"	24	1277	396.5	220	"Alive"
"17"	25	1291.5	377.5	104	"Alive"
"18"	26	1280.5	388	98	"Alive"
"19"	27	1287.5	374.5	291	"Alive"
"20"	28	1276.5	385	182	"Alive"
"21"	29	1279.5	382.5	246	"Alive"
"22"	30	1284.5	374	179	"Alive"
"23"	31	1295	364	106	"Alive"
"24"	32	1291.5	379	139	"Alive"
"25"	33	1292.5	382.5	115	"Alive"
"26"	34	1288.5	375.5	359	"Alive"
