"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	17	194	188.5	128	"Alive"
"2"	18	194	193.5	116	"Alive"
"3"	19	192	191	136	"Alive"
"4"	20	196	209.5	644	"Alive"
"5"	21	224	207	139	"Alive"
"6"	22	221.5	205	98	"Alive"
"7"	23	219.5	203	112	"Alive"
"8"	24	217	200	98	"Alive"
"9"	25	218.5	208	143	"Alive"
"10"	26	225	214.5	132	"Alive"
"11"	27	216	200.5	213	"Alive"
"12"	28	227.5	193	124	"Alive"
"13"	29	236.5	195	150	"Alive"
"14"	30	241.5	203.5	106	"Alive"
"15"	31	245	204	273	"Alive"
"16"	32	243	207.5	183	"Alive"
"17"	33	230	206.5	198	"Alive"
