"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	20	1340	591.5	137	"Alive"
"2"	21	1334	571	135	"Alive"
"3"	22	1313	566.5	153	"Alive"
"4"	23	1309.5	577	131	"Alive"
"5"	24	1311.5	567	142	"Alive"
"6"	25	1316.5	562.5	155	"Alive"
"7"	26	1322.5	565	477	"Alive"
"8"	27	1315	575.5	109	"Alive"
"9"	28	1315	561	129	"Alive"
"10"	29	1320.5	549.5	133	"Alive"
"11"	30	1323	554	124	"Alive"
"12"	31	1324.5	559	143	"Alive"
"13"	32	1324	557.5	384	"Alive"
"14"	33	1322	549	110	"Alive"
"15"	34	1327.5	547	103	"Alive"
"16"	35	1331	543	97	"Alive"
"17"	36	1333	543.5	79	"Alive"
"18"	37	1328.5	544.5	92	"Alive"
"19"	38	1328.5	546.5	109	"Alive"
