collection_id	collection_label	collection_display_order	pathway_id	pathway_label	pathway_display_order	NES	padj	selected_direction	selected_rank_within_direction
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	1.11560521891838	0.475456966079675	positive	1
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	2	1.08945589177504	0.475456966079675	positive	2
H	Hallmark	1	HALLMARK_MYOGENESIS	Myogenesis	3	0.772843015917185	1	positive	3
H	Hallmark	1	HALLMARK_APICAL_SURFACE	Apical Surface	4	0.721585731625239	1	positive	4
H	Hallmark	1	HALLMARK_MYC_TARGETS_V1	Myc Targets V1	5	-4.88697687569609	4.27963201016062e-92	negative	1
H	Hallmark	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Oxidative Phosphorylation	6	-4.58733096127566	2.79188873183279e-76	negative	2
H	Hallmark	1	HALLMARK_E2F_TARGETS	E2f Targets	7	-4.32763023291583	1.957101474946e-65	negative	3
H	Hallmark	1	HALLMARK_DNA_REPAIR	Dna Repair	8	-3.91783732440069	2.41152269995008e-36	negative	4
C2:CP:REACTOME	Reactome	2	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	Class a 1 Rhodopsin Like Receptors	9	1.62840073674837	7.7050771378176e-05	positive	1
C2:CP:REACTOME	Reactome	2	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Olfactory Signaling Pathway	10	1.79834113515572	0.00113629062582208	positive	2
C2:CP:REACTOME	Reactome	2	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Chemokine Receptors Bind Chemokines	11	1.76621105606739	0.00239710403877093	positive	3
C2:CP:REACTOME	Reactome	2	REACTOME_GPCR_LIGAND_BINDING	Gpcr Ligand Binding	12	1.39772626962068	0.00437283646783815	positive	4
C2:CP:REACTOME	Reactome	2	REACTOME_S_PHASE	s Phase	13	-5.11333835503077	1.33859788743968e-63	negative	1
C2:CP:REACTOME	Reactome	2	REACTOME_DNA_REPLICATION	Dna Replication	14	-4.69608009482347	2.29224364385945e-58	negative	2
C2:CP:REACTOME	Reactome	2	REACTOME_SYNTHESIS_OF_DNA	Synthesis of Dna	15	-5.13336791596583	2.78236177997028e-57	negative	3
C2:CP:REACTOME	Reactome	2	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Respiratory Electron Transport	16	-4.9306063441148	7.06564432693728e-57	negative	4
C5:GO:BP	GO biological process	3	GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	Sensory Perception of Chemical Stimulus	17	1.67036666038622	0.00147850690468543	positive	1
C5:GO:BP	GO biological process	3	GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	Detection of Stimulus Involved in Sensory Perception	18	1.5921448437881	0.00281863000359217	positive	2
C5:GO:BP	GO biological process	3	GOBP_REFLEX	Reflex	19	1.64237162013831	0.0185401920562644	positive	3
C5:GO:BP	GO biological process	3	GOBP_HEAT_GENERATION	Heat Generation	20	1.65397835323095	0.019184753922682	positive	4
C5:GO:BP	GO biological process	3	GOBP_MITOCHONDRIAL_GENE_EXPRESSION	Mitochondrial Gene Expression	21	-5.23278586988846	2.20605186543306e-64	negative	1
C5:GO:BP	GO biological process	3	GOBP_DNA_TEMPLATED_DNA_REPLICATION	Dna Templated Dna Replication	22	-5.09768684984788	6.07268713689872e-60	negative	2
C5:GO:BP	GO biological process	3	GOBP_MITOCHONDRIAL_TRANSLATION	Mitochondrial Translation	23	-4.90844483055613	4.67230205711571e-55	negative	3
C5:GO:BP	GO biological process	3	GOBP_CYTOPLASMIC_TRANSLATION	Cytoplasmic Translation	24	-4.62156200663538	2.2729844049414e-47	negative	4
