"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	2	1027	738	131	"Transitional"
"2"	3	1022.5	710.5	173	"Alive"
"3"	4	1027	704	198	"Alive"
"4"	5	1015	703	184	"Alive"
"5"	6	1006	703	215	"Alive"
"6"	7	1003.5	700.5	206	"Alive"
"7"	8	1011.5	705	266	"Alive"
"8"	9	1005.5	694	211	"Alive"
"9"	10	1000	700	252	"Alive"
"10"	11	994	693	252	"Alive"
"11"	12	999	698.5	251	"Alive"
"12"	13	992.5	684	258	"Alive"
"13"	14	987.5	672.5	247	"Alive"
"14"	15	985.5	667	255	"Alive"
"15"	16	986	653	265	"Alive"
"16"	17	987	636	279	"Alive"
"17"	18	990	634.5	272	"Alive"
