"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	4	780	149.5	155	"Alive"
"2"	5	797	148	178	"Alive"
"3"	6	804.5	146	188	"Alive"
"4"	7	806	152.5	218	"Alive"
"5"	8	809	161	197	"Alive"
"6"	9	799.5	154	216	"Alive"
"7"	10	801	147.5	201	"Alive"
"8"	11	806.5	152.5	227	"Alive"
"9"	12	809.5	161	238	"Alive"
"10"	13	811.5	171	267	"Alive"
"11"	14	784.5	179	151	"Alive"
"12"	15	775.5	175	184	"Alive"
"13"	16	753	190.5	352	"Transitional"
"14"	17	746	203	132	"Transitional"
"15"	18	748	221.5	47	"Transitional"
"16"	19	756	218	95	"Transitional"
"17"	20	759.5	210	225	"Transitional"
"18"	21	764	213	233	"Transitional"
"19"	22	784.5	208	267	"Dead"
"20"	23	789.5	191	160	"Dead"
"21"	24	791.5	214.5	171	"Dead"
"22"	25	798.5	225	270	"Dead"
"23"	26	786	245	265	"Dead"
"24"	27	786.5	256	159	"Dead"
"25"	28	803	273	228	"Dead"
"26"	29	777	267	240	"Dead"
"27"	30	771	265.5	147	"Dead"
"28"	31	768.5	266	106	"Dead"
"29"	32	752	250.5	243	"Alive"
"30"	33	756	235.5	203	"Alive"
"31"	34	755.5	226.5	214	"Alive"
"32"	35	757	219.5	241	"Alive"
"33"	36	755	199.5	227	"Alive"
