"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	20	992.5	742.5	331	"Alive"
"2"	21	989	758	300	"Alive"
"3"	22	967.5	771	50	"Dead"
"4"	23	955	792	213	"Dead"
"5"	24	971	810	222	"Dead"
"6"	25	968.5	817.5	206	"Dead"
"7"	26	972	822.5	174	"Dead"
"8"	27	952.5	805	169	"Dead"
"9"	28	946.5	809.5	169	"Dead"
"10"	29	954	826	124	"Alive"
"11"	30	960	830.5	178	"Dead"
"12"	31	990	833	212	"Alive"
"13"	32	991	823.5	212	"Dead"
"14"	33	985	833	171	"Dead"
"15"	34	982.5	837.5	78	"Dead"
"16"	35	983.5	853.5	831	"Alive"
