"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	5	1051.5	542.5	177	"Alive"
"2"	6	1058	519	134	"Alive"
"3"	7	1065.5	514	166	"Alive"
"4"	8	1074	516	186	"Alive"
"5"	9	1083.5	514.5	167	"Alive"
"6"	10	1090	520	198	"Alive"
"7"	11	1092	518	186	"Alive"
"8"	12	1097	518	199	"Alive"
"9"	13	1096.5	519.5	202	"Alive"
"10"	14	1096.5	528	174	"Alive"
"11"	15	1099	537.5	201	"Alive"
"12"	16	1102.5	541.5	209	"Alive"
"13"	17	1109	560	245	"Alive"
"14"	18	1108.5	570	250	"Alive"
"15"	19	1109	577.5	283	"Alive"
"16"	20	1109.5	578.5	251	"Alive"
"17"	21	1114.5	581	225	"Alive"
"18"	22	1109.5	579.5	242	"Transitional"
