"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	18	1061	785.5	201	"Alive"
"2"	19	1057	779.5	109	"Alive"
"3"	20	1058.5	778	166	"Alive"
"4"	21	1062	778	480	"Alive"
"5"	22	1038.5	773.5	241	"Transitional"
"6"	23	1036.5	753.5	394	"Alive"
"7"	24	1055	763	332	"Alive"
"8"	25	1056.5	778	403	"Transitional"
"9"	26	1039.5	790	456	"Transitional"
"10"	27	1042	794.5	413	"Transitional"
"11"	28	1040	798	283	"Transitional"
"12"	29	1025.5	806.5	271	"Alive"
"13"	30	1017	801.5	390	"Alive"
"14"	31	1039	798	588	"Transitional"
"15"	32	1026	799	300	"Alive"
"16"	33	1031	798	199	"Transitional"
"17"	34	1031.5	787.5	378	"Transitional"
