"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	2	642.5	816	208	"Alive"
"2"	3	642.5	819.5	190	"Alive"
"3"	4	644	827	203	"Alive"
"4"	5	649.5	830.5	297	"Transitional"
"5"	6	655.5	821	270	"Alive"
"6"	7	657	816	285	"Alive"
"7"	8	654	812	260	"Alive"
"8"	9	650	806	272	"Alive"
"9"	10	652.5	807.5	315	"Alive"
"10"	11	651.5	807.5	316	"Alive"
"11"	12	654.5	812.5	287	"Transitional"
"12"	13	655	806.5	280	"Transitional"
"13"	14	654	802.5	266	"Transitional"
"14"	15	656.5	798.5	267	"Alive"
"15"	16	656	801.5	261	"Alive"
"16"	17	655.5	802.5	309	"Alive"
"17"	18	651.5	803	296	"Alive"
"18"	19	641	797.5	290	"Alive"
"19"	20	644.5	790	236	"Transitional"
