"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	10	351	537.5	235	"Alive"
"2"	11	346.5	563	223	"Alive"
"3"	12	345	579.5	257	"Alive"
"4"	13	342.5	573.5	281	"Alive"
"5"	14	351	567.5	271	"Alive"
"6"	15	349.5	562	251	"Alive"
"7"	16	337.5	552.5	303	"Alive"
"8"	17	329.5	535.5	306	"Alive"
"9"	18	323.5	524	260	"Alive"
"10"	19	329.5	514.5	295	"Alive"
"11"	20	326	500	344	"Alive"
"12"	21	318	499	363	"Alive"
"13"	22	307	500.5	453	"Alive"
"14"	23	310.5	506	415	"Alive"
"15"	24	310.5	508	453	"Alive"
"16"	25	311.5	504	420	"Alive"
"17"	26	317.5	497.5	200	"Dead"
"18"	27	322.5	498.5	259	"Transitional"
"19"	28	314.5	494.5	498	"Transitional"
"20"	29	291	483	347	"Transitional"
