"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	21	1341	182.5	162	"Transitional"
"2"	22	1353.5	179	92	"Transitional"
"3"	23	1369.5	156.5	144	"Transitional"
"4"	24	1368	164.5	122	"Dead"
"5"	25	1368	148.5	319	"Dead"
"6"	26	1342	148.5	262	"Alive"
"7"	27	1325.5	165.5	206	"Dead"
"8"	28	1340	155.5	106	"Dead"
"9"	29	1325	162	142	"Dead"
"10"	30	1314	183.5	174	"Dead"
"11"	31	1304.5	173	187	"Dead"
"12"	32	1303.5	178.5	215	"Dead"
"13"	33	1277	191.5	249	"Dead"
"14"	34	1262.5	206	439	"Dead"
