"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	3	222	640.5	163	"Alive"
"2"	4	208	641.5	191	"Alive"
"3"	5	184	657	174	"Alive"
"4"	6	195	662	178	"Alive"
"5"	7	205.5	659	189	"Alive"
"6"	8	206	658	195	"Alive"
"7"	9	206	655	210	"Alive"
"8"	10	208	656.5	195	"Alive"
"9"	11	202.5	659.5	203	"Alive"
"10"	12	204.5	666.5	221	"Alive"
"11"	13	200	669	201	"Alive"
"12"	14	196	665	206	"Alive"
"13"	15	200	663.5	199	"Alive"
"14"	16	204.5	677.5	225	"Alive"
"15"	17	212.5	684	179	"Alive"
"16"	18	231.5	689.5	167	"Alive"
"17"	19	244.5	694.5	181	"Alive"
"18"	20	247	698.5	213	"Alive"
"19"	21	245	699.5	221	"Alive"
"20"	22	240.5	705.5	262	"Alive"
"21"	23	240	710	255	"Alive"
"22"	24	238	729	284	"Alive"
"23"	25	243	734	255	"Alive"
"24"	26	221	753.5	284	"Alive"
"25"	27	215.5	767.5	293	"Alive"
"26"	28	211.5	770	312	"Alive"
"27"	29	205.5	758.5	278	"Alive"
