"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	2	382	91	149	"Alive"
"2"	3	391	95.5	121	"Alive"
"3"	4	404	76	177	"Alive"
"4"	5	419.5	60	231	"Alive"
"5"	6	415	62	187	"Alive"
"6"	7	406	56	198	"Alive"
"7"	8	390	52.5	205	"Alive"
"8"	9	382.5	49.5	204	"Alive"
"9"	10	375	60	224	"Alive"
"10"	11	374	79.5	232	"Alive"
"11"	12	365.5	83	236	"Alive"
"12"	13	363.5	94.5	248	"Alive"
"13"	14	367	105	240	"Alive"
"14"	15	361.5	103	257	"Alive"
"15"	16	358.5	103.5	127	"Alive"
"16"	17	370.5	81	189	"Alive"
"17"	18	382	91	248	"Alive"
"18"	19	385.5	82	309	"Alive"
"19"	20	373	76.5	302	"Alive"
"20"	21	371.5	85.5	360	"Alive"
"21"	22	363.5	114	191	"Transitional"
"22"	23	353.5	127	346	"Transitional"
"23"	24	357.5	145	332	"Transitional"
"24"	25	360	141	344	"Dead"
