"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	7	1411.5	144	134	"Alive"
"2"	8	1403.5	149.5	265	"Alive"
"3"	9	1404	143	311	"Alive"
"4"	10	1405	140.5	267	"Alive"
"5"	11	1418.5	154.5	211	"Alive"
"6"	12	1410	173.5	221	"Alive"
"7"	13	1386.5	171.5	244	"Alive"
"8"	14	1373	187	229	"Alive"
"9"	15	1377	195	261	"Alive"
"10"	16	1369	188.5	216	"Alive"
"11"	17	1370.5	198	247	"Alive"
"12"	18	1365.5	191.5	240	"Alive"
"13"	19	1366.5	176.5	214	"Alive"
"14"	20	1380.5	165	254	"Alive"
"15"	21	1391	147.5	285	"Alive"
"16"	22	1391.5	142	309	"Alive"
"17"	23	1372.5	131	164	"Alive"
"18"	24	1375.5	136.5	188	"Alive"
"19"	25	1376	116	226	"Alive"
"20"	26	1385.5	108.5	366	"Alive"
"21"	27	1391	92.5	204	"Alive"
"22"	28	1398.5	93	401	"Alive"
