"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	5	533	329.5	120	"Alive"
"2"	6	540	326.5	124	"Alive"
"3"	7	546.5	325	110	"Alive"
"4"	8	560.5	315	131	"Alive"
"5"	9	567	314	152	"Alive"
"6"	10	573.5	317.5	127	"Alive"
"7"	11	552	308	288	"Transitional"
"8"	12	551	282	247	"Alive"
"9"	13	545.5	274	236	"Alive"
"10"	14	542	278	301	"Alive"
"11"	15	529.5	267	338	"Alive"
"12"	16	519.5	263.5	337	"Alive"
"13"	17	510.5	265	365	"Alive"
"14"	18	514	258.5	280	"Alive"
"15"	19	505	254.5	348	"Alive"
"16"	20	496	243	321	"Alive"
