"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	4	303.5	234.5	135	"Alive"
"2"	5	310	239.5	165	"Alive"
"3"	6	321	243	184	"Alive"
"4"	7	322.5	245.5	209	"Alive"
"5"	8	318.5	247	214	"Alive"
"6"	9	325.5	251	224	"Alive"
"7"	10	331.5	255	233	"Alive"
"8"	11	344	247.5	237	"Alive"
"9"	12	345	247	257	"Alive"
"10"	13	345	249	246	"Alive"
"11"	14	361.5	254.5	320	"Alive"
"12"	15	377	272	271	"Alive"
"13"	16	379	279	346	"Alive"
"14"	17	383.5	278	375	"Alive"
"15"	18	398.5	275	377	"Alive"
"16"	19	407	270.5	379	"Alive"
"17"	20	408.5	268	388	"Alive"
"18"	21	418.5	258	413	"Transitional"
"19"	22	417	256	261	"Transitional"
"20"	23	415	249.5	248	"Transitional"
