"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	11	1370.5	457.5	290	"Alive"
"2"	12	1359.5	471.5	264	"Alive"
"3"	13	1368.5	484	295	"Alive"
"4"	14	1374.5	505.5	253	"Alive"
"5"	15	1377	509.5	277	"Alive"
"6"	16	1368	513.5	266	"Alive"
"7"	17	1352	507.5	295	"Alive"
"8"	18	1345	534.5	268	"Alive"
"9"	19	1327.5	524	269	"Alive"
"10"	20	1318.5	515.5	263	"Alive"
"11"	21	1314	507.5	282	"Alive"
"12"	22	1322	493	126	"Alive"
"13"	23	1318	503	153	"Dead"
"14"	24	1311.5	493	267	"Transitional"
"15"	25	1309.5	495	220	"Transitional"
"16"	26	1323.5	496.5	201	"Transitional"
"17"	27	1328	502	21	"Dead"
"18"	28	1328.5	499.5	131	"Dead"
"19"	29	1339	494	294	"Dead"
"20"	30	1341.5	503.5	273	"Dead"
"21"	31	1332	492	287	"Dead"
"22"	32	1321.5	496.5	293	"Dead"
"23"	33	1312.5	507	302	"Dead"
"24"	34	1311	494	169	"Dead"
"25"	35	1308.5	489.5	269	"Dead"
"26"	36	1306.5	493.5	594	"Dead"
