"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	21	215	3	128	"Alive"
"2"	22	211.5	26	161	"Transitional"
"3"	23	206.5	8	122	"Alive"
"4"	24	211.5	20.5	406	"Transitional"
"5"	25	205	27	258	"Transitional"
"6"	26	202.5	33.5	312	"Transitional"
"7"	27	200.5	28.5	138	"Dead"
"8"	28	218.5	33.5	111	"Dead"
"9"	29	230.5	41.5	153	"Dead"
"10"	30	228	46.5	143	"Dead"
"11"	31	250.5	46	458	"Alive"
"12"	32	221	57.5	218	"Dead"
"13"	33	209	62	230	"Alive"
"14"	34	196	84	57	"Alive"
"15"	35	193	91	315	"Dead"
