"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	20	497	11	246	"Alive"
"2"	21	488	13.5	332	"Alive"
"3"	22	469	30.5	392	"Alive"
"4"	23	472.5	25	266	"Transitional"
"5"	24	472.5	20	581	"Alive"
"6"	25	473.5	18	322	"Dead"
"7"	26	477	26	432	"Dead"
"8"	27	476	32	161	"Alive"
"9"	28	491.5	9	54	"Dead"
"10"	29	506	17	93	"Alive"
"11"	30	501.5	13	125	"Alive"
"12"	31	521.5	18.5	135	"Transitional"
"13"	32	517.5	26.5	147	"Dead"
"14"	33	495.5	14	110	"Alive"
"15"	34	500	18	325	"Transitional"
"16"	35	506.5	20.5	441	"Alive"
