"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	23	406.5	405	237	"Alive"
"2"	24	406.5	394.5	238	"Alive"
"3"	25	412.5	405	213	"Alive"
"4"	26	406	410.5	283	"Alive"
"5"	27	399	404	279	"Transitional"
"6"	28	395	419.5	275	"Dead"
"7"	29	397	415.5	169	"Transitional"
"8"	30	404	412	195	"Dead"
"9"	31	427	404	209	"Dead"
"10"	32	399.5	410.5	123	"Dead"
"11"	33	403	386	313	"Alive"
"12"	34	390	360.5	263	"Alive"
"13"	35	393	373	242	"Alive"
"14"	36	401	379	175	"Dead"
"15"	37	388	370.5	209	"Dead"
