"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	5	1312	546	194	"Alive"
"2"	6	1291.5	558.5	210	"Alive"
"3"	7	1283.5	567.5	276	"Alive"
"4"	8	1292	578	272	"Alive"
"5"	9	1288.5	584	261	"Alive"
"6"	10	1285.5	596.5	231	"Alive"
"7"	11	1286.5	588	217	"Alive"
"8"	12	1293	570.5	233	"Alive"
"9"	13	1286	574.5	215	"Alive"
"10"	14	1287	592	243	"Alive"
"11"	15	1294	585	263	"Alive"
"12"	16	1306.5	587	295	"Alive"
"13"	17	1325.5	600.5	303	"Alive"
"14"	18	1344.5	588.5	307	"Alive"
"15"	19	1352	564	318	"Alive"
"16"	20	1367.5	548.5	343	"Alive"
"17"	21	1368	535.5	328	"Alive"
"18"	22	1376.5	522.5	321	"Alive"
"19"	23	1369.5	507.5	372	"Alive"
"20"	24	1373	508.5	375	"Alive"
"21"	25	1390	505	382	"Alive"
"22"	26	1396	512.5	408	"Alive"
"23"	27	1403.5	508.5	424	"Alive"
"24"	28	1395.5	507	393	"Alive"
"25"	29	1384.5	506.5	478	"Alive"
"26"	30	1395.5	502	277	"Alive"
