"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	3	178	485.5	166	"Dead"
"2"	4	177	486	211	"Dead"
"3"	5	168	483.5	197	"Dead"
"4"	6	157	485.5	173	"Dead"
"5"	7	155	495.5	142	"Dead"
"6"	8	141	498	241	"Dead"
"7"	9	135.5	501	208	"Alive"
"8"	10	130	490	282	"Dead"
"9"	11	132	482.5	253	"UnStained"
"10"	12	134	478	245	"UnStained"
"11"	13	131	472.5	305	"Alive"
"12"	14	127	461.5	239	"Dead"
"13"	15	131.5	466.5	274	"UnStained"
"14"	16	130	462.5	286	"UnStained"
"15"	17	123	467	208	"UnStained"
"16"	18	118	460	270	"UnStained"
"17"	19	114.5	464	287	"Dead"
"18"	20	109.5	465.5	331	"Dead"
"19"	21	106.5	461	344	"UnStained"
"20"	22	98	456.5	276	"UnStained"
"21"	23	87.5	449.5	370	"Dead"
"22"	24	100	459	250	"UnStained"
"23"	25	92	472.5	322	"Dead"
"24"	26	79	475.5	136	"UnStained"
"25"	27	80.5	491	187	"Dead"
"26"	28	75.5	480.5	459	"Dead"
"27"	29	79	462.5	91	"Dead"
"28"	30	63	458	78	"Dead"
"29"	31	47.5	473.5	166	"Alive"
"30"	32	32.5	469.5	171	"Alive"
"31"	33	36.5	480	177	"Alive"
"32"	34	35.5	489	380	"Alive"
"33"	35	36	503.5	135	"Dead"
"34"	36	38.5	525	149	"Dead"
