"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	13	1333.5	11	194	"Transitional"
"2"	14	1338	14.5	115	"Dead"
"3"	15	1337	6	160	"Dead"
"4"	16	1314	3.5	155	"Dead"
"5"	17	1306	6.5	184	"Dead"
"6"	18	1306.5	18.5	291	"Dead"
"7"	19	1313	14.5	215	"Dead"
"8"	20	1334	33.5	194	"Dead"
"9"	21	1328	29.5	212	"Dead"
"10"	22	1324	36	238	"Dead"
"11"	23	1331	32.5	209	"Alive"
"12"	24	1328.5	31	269	"Dead"
"13"	25	1327	35.5	230	"Alive"
"14"	26	1316.5	35.5	395	"Alive"
"15"	27	1326	30	473	"Alive"
"16"	28	1329	39.5	220	"Alive"
"17"	29	1332.5	49	456	"Alive"
"18"	30	1333.5	54	480	"Alive"
"19"	31	1324	66.5	492	"Alive"
"20"	32	1316	77.5	552	"Alive"
"21"	33	1312	86.5	565	"Alive"
"22"	34	1311	92	564	"Alive"
"23"	35	1305.5	85	504	"Alive"
"24"	36	1312.5	85.5	531	"Alive"
"25"	37	1319	81	326	"Alive"
