"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	15	586.5	762.5	172	"Alive"
"2"	16	596.5	779.5	244	"Alive"
"3"	17	615.5	782	179	"Alive"
"4"	18	631	771	169	"Alive"
"5"	19	613.5	777.5	227	"Alive"
"6"	20	625	758	164	"Transitional"
"7"	21	643.5	749	516	"Transitional"
"8"	22	626	768.5	387	"Alive"
"9"	23	612.5	760	357	"Transitional"
"10"	24	614.5	743	120	"Dead"
"11"	25	612.5	737.5	300	"Transitional"
"12"	26	613.5	730.5	36	"Alive"
"13"	27	621.5	727	329	"Transitional"
"14"	28	647.5	717.5	207	"Transitional"
"15"	29	638	707.5	410	"Dead"
