"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	5	333.5	732	168	"Alive"
"2"	6	326	728	161	"Alive"
"3"	7	339	728.5	191	"Alive"
"4"	8	341.5	730	166	"Alive"
"5"	9	339	728.5	204	"Alive"
"6"	10	363.5	726.5	202	"Alive"
"7"	11	355.5	739	205	"Alive"
"8"	12	349.5	729.5	202	"Alive"
"9"	13	350.5	726	235	"Alive"
"10"	14	339	734.5	241	"Alive"
"11"	15	341	741.5	231	"Alive"
"12"	16	342.5	739	210	"Alive"
"13"	17	349	735.5	231	"Alive"
"14"	18	359	746	284	"Alive"
"15"	19	356.5	738	282	"Alive"
