"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	3	268.5	177.5	106	"Alive"
"2"	4	275	184.5	115	"Alive"
"3"	5	280	177	129	"Alive"
"4"	6	278	175	175	"Alive"
"5"	7	284	165.5	208	"Alive"
"6"	8	282.5	142	217	"Alive"
"7"	9	275.5	128	218	"Alive"
"8"	10	264	117	235	"Alive"
"9"	11	251	116.5	274	"Alive"
"10"	12	234.5	110.5	248	"Alive"
"11"	13	210.5	117.5	285	"Alive"
"12"	14	188	128.5	266	"Alive"
"13"	15	174.5	138	285	"Alive"
"14"	16	175	139.5	291	"Alive"
"15"	17	177	138	278	"Alive"
