"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	10	538	814.5	191	"Alive"
"2"	11	542	806.5	215	"Alive"
"3"	12	513.5	798	260	"Alive"
"4"	13	490.5	793	249	"Alive"
"5"	14	480	777.5	266	"Alive"
"6"	15	470.5	768	247	"Alive"
"7"	16	479	759	270	"Alive"
"8"	17	491	747.5	315	"Alive"
"9"	18	472	741.5	322	"Alive"
"10"	19	473	752.5	237	"Transitional"
"11"	20	475	747.5	189	"Transitional"
"12"	21	477.5	724.5	251	"Transitional"
"13"	22	485.5	707.5	329	"Transitional"
"14"	23	488.5	708	307	"Transitional"
"15"	24	503	707.5	292	"Dead"
"16"	25	484.5	708.5	300	"Transitional"
"17"	26	480	716	330	"Dead"
