"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	5	1335	541.5	183	"Alive"
"2"	6	1333	532.5	192	"Alive"
"3"	7	1328	519	156	"Alive"
"4"	8	1315.5	541	183	"Alive"
"5"	9	1318.5	545	173	"Alive"
"6"	10	1331.5	551.5	188	"Alive"
"7"	11	1322	552	203	"Alive"
"8"	12	1318.5	556.5	217	"Alive"
"9"	13	1316	559	200	"Alive"
"10"	14	1291	564	226	"Alive"
"11"	15	1275	558.5	249	"Alive"
"12"	16	1266	558.5	262	"Alive"
"13"	17	1272.5	561.5	262	"Alive"
"14"	18	1272	552.5	287	"Alive"
"15"	19	1261	555.5	302	"Alive"
"16"	20	1265.5	562.5	313	"Alive"
"17"	21	1265.5	573	299	"Alive"
"18"	22	1256	571.5	322	"Alive"
"19"	23	1242	563.5	342	"Alive"
