"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	12	249	868	118	"Alive"
"2"	13	234	854.5	130	"Alive"
"3"	14	232.5	846	178	"Alive"
"4"	15	220.5	846	148	"Alive"
"5"	16	196.5	850.5	139	"Transitional"
"6"	17	191	853	198	"Alive"
"7"	18	187	851	194	"Alive"
"8"	19	177.5	859.5	183	"Alive"
"9"	20	186.5	864	170	"Transitional"
"10"	21	171	877.5	286	"Alive"
"11"	22	179.5	875	308	"Alive"
"12"	23	174	854.5	174	"Alive"
"13"	24	171.5	850	207	"Alive"
"14"	25	159	848	254	"Alive"
"15"	26	149	851.5	223	"Alive"
"16"	27	148.5	823.5	358	"Alive"
"17"	28	151	819	304	"Alive"
