"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	5	209	326.5	173	"Alive"
"2"	6	216	332	188	"Transitional"
"3"	7	210	335.5	193	"Alive"
"4"	8	210	330	186	"Alive"
"5"	9	214.5	321	174	"Alive"
"6"	10	211.5	323.5	212	"Alive"
"7"	11	196	319	202	"Alive"
"8"	12	177.5	318	210	"Alive"
"9"	13	153	326	258	"Alive"
"10"	14	143.5	339	239	"Alive"
"11"	15	130.5	354.5	280	"Alive"
"12"	16	124.5	360.5	296	"Alive"
"13"	17	106.5	369	282	"Alive"
"14"	18	109	365	305	"Alive"
"15"	19	114.5	362.5	323	"Alive"
"16"	20	119	362	324	"Alive"
"17"	21	113.5	369	298	"Alive"
"18"	22	107.5	374	272	"Alive"
"19"	23	112.5	386.5	527	"Alive"
