"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	4	542	297	169	"Alive"
"2"	5	536	286.5	260	"Alive"
"3"	6	518.5	288	238	"Alive"
"4"	7	511.5	291.5	252	"Alive"
"5"	8	504.5	300.5	231	"Alive"
"6"	9	490	299	255	"Alive"
"7"	10	465	300.5	311	"Alive"
"8"	11	447	300.5	306	"Alive"
"9"	12	453	299.5	355	"Alive"
"10"	13	456.5	299	338	"Alive"
"11"	14	458.5	303	373	"Alive"
"12"	15	451.5	309	371	"Alive"
"13"	16	435	303	395	"Alive"
"14"	17	437.5	301.5	386	"Alive"
"15"	18	440	291	401	"Alive"
"16"	19	451.5	279	402	"Alive"
"17"	20	453	262	460	"Alive"
"18"	21	466	250.5	432	"Alive"
"19"	22	459.5	259.5	368	"Alive"
