"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	9	139	769.5	170	"Alive"
"2"	10	122	754.5	218	"Alive"
"3"	11	128	754	215	"Alive"
"4"	12	137.5	735.5	213	"Alive"
"5"	13	149.5	729.5	247	"Alive"
"6"	14	172.5	736	255	"Alive"
"7"	15	181	737.5	253	"Alive"
"8"	16	188	744.5	234	"Alive"
"9"	17	197.5	759.5	251	"Alive"
"10"	18	223	753.5	213	"Alive"
"11"	19	216.5	732.5	261	"Alive"
"12"	20	211	713	305	"Alive"
"13"	21	188	732	329	"Alive"
"14"	22	186.5	735	334	"Alive"
"15"	23	201.5	755	208	"Alive"
"16"	24	191	743	222	"Alive"
"17"	25	191.5	734.5	266	"Alive"
"18"	26	198.5	718	264	"Alive"
"19"	27	201.5	700	303	"Alive"
"20"	28	197.5	689	273	"Alive"
