"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	3	644.5	909	84	"Alive"
"2"	4	646	918.5	156	"Alive"
"3"	5	664	923.5	163	"Alive"
"4"	6	665.5	925.5	195	"Alive"
"5"	7	661.5	922.5	222	"Alive"
"6"	8	656.5	918.5	205	"Alive"
"7"	9	656.5	923	211	"Alive"
"8"	10	657.5	921.5	231	"Alive"
"9"	11	653	927.5	246	"Alive"
"10"	12	664.5	933.5	259	"Alive"
"11"	13	675	939.5	259	"Alive"
"12"	14	676.5	941	244	"Alive"
"13"	15	677	942	272	"Alive"
"14"	16	678	939.5	253	"Alive"
"15"	17	680.5	933.5	260	"Alive"
"16"	18	683	929.5	344	"Alive"
"17"	19	691	930.5	326	"Alive"
"18"	20	695	931.5	379	"Alive"
"19"	21	697.5	920	325	"Alive"
"20"	22	695	909.5	328	"Alive"
"21"	23	690	905.5	347	"Alive"
"22"	24	687.5	907	394	"Alive"
"23"	25	687	906	392	"Alive"
