"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	13	1172.5	4.5	178	"Alive"
"2"	14	1161	18	189	"Alive"
"3"	15	1154.5	18	259	"Alive"
"4"	16	1161.5	22	252	"Alive"
"5"	17	1166.5	23.5	269	"Alive"
"6"	18	1174	27	272	"Alive"
"7"	19	1176.5	26	251	"Alive"
"8"	20	1179.5	27	297	"Alive"
"9"	21	1184	22	319	"Alive"
"10"	22	1180	7	312	"Alive"
"11"	23	1188	7.5	348	"Alive"
"12"	24	1189	8	349	"Alive"
"13"	25	1197	8.5	406	"Alive"
"14"	26	1204	17.5	429	"Alive"
"15"	27	1212	17.5	414	"Alive"
"16"	28	1204	18	413	"Alive"
"17"	29	1219.5	41	654	"Transitional"
