"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	5	917	367.5	122	"Alive"
"2"	6	907.5	367	136	"Alive"
"3"	7	898	367.5	165	"Alive"
"4"	8	898	363.5	189	"Alive"
"5"	9	894.5	361	218	"Alive"
"6"	10	881.5	346.5	228	"Alive"
"7"	11	869.5	349.5	218	"Alive"
"8"	12	872.5	344.5	208	"Alive"
"9"	13	870	336	115	"Alive"
"10"	14	855.5	328.5	119	"Alive"
"11"	15	838.5	310	247	"Alive"
"12"	16	836.5	295.5	255	"Alive"
"13"	17	842.5	296	275	"Alive"
"14"	18	856	314.5	255	"Alive"
"15"	19	870.5	327	281	"Alive"
"16"	20	871	319.5	290	"Alive"
"17"	21	873	304.5	329	"Alive"
"18"	22	870.5	308.5	279	"Alive"
"19"	23	871.5	306	354	"Alive"
