"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	16	694	160.5	246	"Alive"
"2"	17	689	152	250	"Alive"
"3"	18	689	163	261	"Alive"
"4"	19	686	169	264	"Alive"
"5"	20	678	181.5	307	"Alive"
"6"	21	665.5	185.5	333	"Alive"
"7"	22	662	186.5	365	"Alive"
"8"	23	666.5	189.5	265	"Alive"
"9"	24	670.5	197	279	"Alive"
"10"	25	665	194	331	"Alive"
"11"	26	660.5	193	345	"Alive"
"12"	27	657.5	195	339	"Alive"
"13"	28	664.5	201	338	"Alive"
"14"	29	667.5	199	283	"Alive"
"15"	30	653	188	469	"Transitional"
