"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	9	456	509	146	"Transitional"
"2"	10	447	510.5	199	"Alive"
"3"	11	441	510.5	186	"Alive"
"4"	12	439	511	243	"Alive"
"5"	13	439.5	513.5	205	"Alive"
"6"	14	442.5	511	200	"Alive"
"7"	15	434	517.5	205	"Alive"
"8"	16	429.5	513	234	"Alive"
"9"	17	431	505.5	274	"Alive"
"10"	18	427.5	495.5	290	"Alive"
"11"	19	413.5	486.5	334	"Alive"
"12"	20	410.5	482.5	284	"Alive"
"13"	21	401	492.5	302	"Alive"
"14"	22	402.5	492	303	"Alive"
"15"	23	405.5	497	305	"Alive"
