"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	8	406	857.5	203	"Alive"
"2"	9	398	837.5	236	"Alive"
"3"	10	408	814.5	259	"Alive"
"4"	11	423	808.5	268	"Alive"
"5"	12	432	821	259	"Alive"
"6"	13	421.5	838	270	"Alive"
"7"	14	408	846.5	302	"Alive"
"8"	15	406.5	851	297	"Alive"
"9"	16	403.5	855	299	"Alive"
"10"	17	419	852.5	264	"Alive"
"11"	18	420.5	853	290	"Alive"
"12"	19	421.5	842	307	"Alive"
"13"	20	415	834	281	"Alive"
"14"	21	411	833.5	351	"Alive"
"15"	22	412	818.5	457	"Transitional"
"16"	23	416	820.5	412	"Transitional"
