"iteration","n","pearson_r","pearson_p","spearman_rho","spearman_p"
1,8,0.700388785121381,0.0530343466788057,0.407407407407407,0.316429397723464
2,8,-0.626248016343826,0.0966712764414717,-0.594936708860759,0.119765536998206
3,8,-0.319331871728909,0.440711504551504,-0.259259259259259,0.535232404809648
4,8,-0.243689281652787,0.560849529027827,0.268292682926829,0.520569891636616
5,8,-0.705808482986209,0.0504360762080611,-0.594936708860759,0.119765536998206
6,8,0.914958541876167,0.00144116079947566,0.974683544303797,3.97984255471566e-05
7,8,-0.860163418935478,0.00613911368808814,-0.555555555555556,0.152822232383275
8,8,-0.423625188940816,0.295615478211866,-0.108433734939759,0.798274813332511
9,8,-0.657237673477483,0.076568067472352,-0.518987341772152,0.187514534406167
10,8,-0.0169317553651666,0.968259025754852,0.139240506329114,0.742278902896378
11,8,-0.0542667866632902,0.898449360272631,0.384615384615385,0.346809662449871
12,8,-0.656854096637617,0.0768003383516628,-0.468354430379747,0.241804882823014
13,8,-0.665271082746838,0.0717979901076932,-0.62962962962963,0.094345165105607
14,8,-0.278087977707003,0.504843085103125,-0.589041095890411,0.124429494317035
15,8,-0.192987646753823,0.647032370838554,0.0617283950617284,0.88455293510991
16,8,-0.575172824078359,0.135795977213721,-0.325301204819277,0.431723785085099
17,8,-0.191036817246929,0.650425429124132,0.0731707317073171,0.863293782609012
18,8,-0.534355577834165,0.172468004335567,-0.432098765432099,0.285012238128342
19,8,-0.766017593517664,0.0266680591474008,-0.746835443037975,0.0332525591774179
20,8,-0.674592553240519,0.0664879515546793,-0.555555555555556,0.152822232383275
21,8,0.98491380694413,8.48695870013579e-06,1,0
22,8,-0.796470358829063,0.0179912081776651,-0.804878048780488,0.0159601987985089
23,8,-0.74819702260624,0.0327555617688425,-0.609756097560976,0.108484275261192
24,8,-0.585022679221053,0.127665883001162,-0.414634146341463,0.307070866237017
25,8,-0.170654135754961,0.686181633613774,0.132530120481928,0.75440042927224
26,8,0.897984168681926,0.00245531696481413,0.864864864864865,0.00556104694169674
27,8,-0.682729385407044,0.0620486375844226,-0.414634146341463,0.307070866237017
28,8,-0.921197482785567,0.00115221257291422,-0.891891891891892,0.00290816977750489
29,8,0.0245633984853255,0.953962150218582,0.132530120481928,0.75440042927224
30,8,-0.446195359224285,0.267792977402147,-0.0602409638554217,0.887321161362284
31,8,-0.657114444698171,0.0766426424284801,-0.44578313253012,0.268289002774832
32,8,-0.434093621442015,0.282543459973409,-0.620253164556962,0.100875222859378
33,8,-0.819301561718586,0.0128235961921072,-0.594936708860759,0.119765536998206
34,8,-0.361831151368112,0.378455325793938,0,1
35,8,-0.442061384827472,0.2727879014375,0.0617283950617284,0.88455293510991
36,8,-0.943524927222784,0.000431450790344608,-0.777777777777778,0.023065589595082
37,8,0.110283702731206,0.794888595922959,0.62962962962963,0.0943451651056068
38,8,-0.722904748570272,0.0427483122270859,-0.62962962962963,0.094345165105607
39,8,-0.700995659930867,0.0527395056709731,-0.555555555555556,0.152822232383275
40,8,-0.726857456444154,0.0410793056101521,-0.620253164556962,0.100875222859378
41,8,-0.724820688291077,0.0419342844418623,-0.615384615384616,0.104365016307875
42,8,-0.854268024969744,0.0069165103550032,-0.848101265822785,0.00779410868380387
43,8,-0.681723022890377,0.0625878511095738,-0.268292682926829,0.520569891636616
44,8,0.0887370480281432,0.834489395321166,0.468354430379747,0.241804882823014
45,8,-0.83817254787487,0.00935060414812371,-0.594936708860759,0.119765536998206
46,8,-0.506665101913028,0.200064211662779,-0.234567901234568,0.576051906571553
47,8,-0.166243536444465,0.693988825702133,-0.291139240506329,0.484176479990479
48,8,-0.669974139281332,0.0690887860200682,-0.721518987341772,0.0433430021118049
49,8,-0.416429285762796,0.304766983347021,-0.0731707317073171,0.863293782609012
50,8,0.0169981594466232,0.96813458976094,-0.121951219512195,0.773598436910597
51,8,-0.17456329301615,0.679282231401586,0.204819277108434,0.626569134387071
52,8,-0.560187742304839,0.148701758255854,-0.518072289156627,0.188431668335035
53,8,-0.496818060968948,0.210401429068237,-0.102564102564103,0.809036692029818
54,8,-0.676699283236792,0.0653211048772506,-0.79746835443038,0.0177421304392542
55,8,-0.507828725731712,0.19886072482036,-0.439024390243902,0.276486445900293
56,8,-0.759024745633734,0.0289652066218727,-0.923076923076923,0.00107327636125645
57,8,0.21567889693252,0.607968078845817,0.670886075949367,0.0685705618098423
58,8,-0.337702289132835,0.413301837214415,-0.540540540540541,0.166603118711555
59,8,-0.0552091233066283,0.896693051476807,0.275,0.509781307373047
60,8,-0.15560312607979,0.712919324331216,0.121951219512195,0.773598436910598
61,8,-0.4774669341858,0.23150678610212,-0.170731707317073,0.68604453895394
62,8,-0.849106919856386,0.0076464132577115,-0.878048780487805,0.00412958042703296
63,8,-0.42176551756028,0.297967661932064,-0.341463414634146,0.407782409074504
64,8,-0.679353654269038,0.0638683193018245,-0.469879518072289,0.240065454942806
65,8,-0.41636885961475,0.30484439910964,-0.291139240506329,0.484176479990479
66,8,-0.60851551784799,0.109404434834592,-0.315068493150685,0.447177633966065
67,8,-0.682921543228226,0.061945993454604,-0.560975609756098,0.148007079914522
68,8,-0.13029763936383,0.758442998697194,0.544303797468354,0.163088312636417
69,8,-0.725713235149249,0.0415583026306077,-0.469879518072289,0.240065454942806
70,8,-0.445184311869489,0.269010364410234,-0.301204819277108,0.468469529828103
71,8,-0.0552091233066283,0.896693051476807,0.275,0.509781307373047
72,8,-0.600802206462914,0.115224832075092,-0.463414634146342,0.247482670349255
73,8,-0.666028410931704,0.0713575811790483,-0.341463414634146,0.407782409074504
74,8,-0.0667522117940925,0.875210903835205,0.170731707317073,0.68604453895394
75,8,-0.0756998099077055,0.858604167762697,0.367088607594937,0.371042516598345
76,8,-0.066186663664169,0.876261957109052,0.216216216216216,0.607052378046439
77,8,-0.053048475493925,0.900720558253003,0.367088607594937,0.371042516598345
78,8,-0.501593016953305,0.205354684834196,-0.113924050632911,0.788233439851227
79,8,-0.249012778056073,0.552042786304426,0.316455696202532,0.445069441835733
80,8,-0.449883661109014,0.263375199017371,-0.518987341772152,0.187514534406167
81,8,-0.433331023801874,0.283485989490543,0.135802469135802,0.74848368865351
82,8,-0.876650759109151,0.00426855831293096,-0.780487804878049,0.0222809739808402
83,8,-0.18783196735118,0.656010974457329,0.075,0.859901453857422
84,8,-0.123264914668676,0.771208759163948,0.225,0.592147037353516
85,8,-0.42748860908369,0.290757723021971,-0.048780487804878,0.908681575447135
86,8,-0.339617425135866,0.41048740417246,-0.468354430379747,0.241804882823014
87,8,-0.236238178922128,0.573257611735049,-0.292682926829268,0.48175433009408
88,8,-0.707803254765664,0.0494994337041603,-0.842105263157895,0.0087124949365918
89,8,-0.0391274296437049,0.926710912981873,0.0886075949367088,0.834728317893272
90,8,-0.781046623576874,0.0221212766593187,-0.620253164556962,0.100875222859378
