"iteration","n","pearson_r","pearson_p","spearman_rho","spearman_p"
1,8,0.789075674865586,0.01990497712901,0.609756097560976,0.108484275261192
2,8,0.9721673100623,5.27831669556089e-05,0.902439024390244,0.00215494723497795
3,8,0.996294504760295,1.26844326642484e-07,1,0
4,8,0.641522554069296,0.0864228654133082,0.620253164556962,0.100875222859378
5,8,0.576478397613296,0.134702253058394,0.414634146341463,0.307070866237017
6,8,0.591397744534909,0.122553147980896,0.0617283950617284,0.88455293510991
7,8,0.969643292877771,6.83539010836451e-05,0.615384615384616,0.104365016307875
8,8,0.73656106068268,0.0371518180610824,0.468354430379747,0.241804882823014
9,8,0.989762475180296,2.66185472226874e-06,0.974683544303797,3.97984255471566e-05
10,8,0.760673789196182,0.0284129346763703,0.475,0.234272098388672
11,8,0.85274211458441,0.0071274536655972,0.780487804878049,0.0222809739808402
12,8,0.959828018264351,0.000157228814341931,0.848101265822785,0.00779410868380385
13,8,0.693198751903367,0.0566027422349345,0.62962962962963,0.0943451651056068
14,8,0.984975204068755,8.3841483884488e-06,0.926829268292683,0.000926422142911447
15,8,0.938675578215502,0.000550362118682041,0.924050632911392,0.00103380815542862
16,8,0.997481933492354,3.98401578102677e-08,1,0
17,8,0.973855411825105,4.38056778203315e-05,0.951807228915663,0.000269807827925983
18,8,0.786080781022602,0.0207146596218991,0.728395061728395,0.0404409294591197
19,8,0.946882164398669,0.000359912435518306,0.620253164556962,0.100875222859378
20,8,0.706852659067969,0.0499444681531204,0.851851851851852,0.00725239908517074
21,8,0.789875731179625,0.0196920758960164,0.75609756097561,0.0299617108971145
22,8,0.612242264586993,0.10665354912665,0.468354430379747,0.241804882823014
23,8,0.967081044807382,8.69948488850151e-05,0.822784810126582,0.0121299609627337
24,8,0.920203857054797,0.0011954328221913,0.615384615384616,0.104365016307875
25,8,0.478158749697447,0.230734314014129,0.162162162162162,0.701234279866665
26,8,0.979223463844498,2.20733055108222e-05,0.777777777777778,0.023065589595082
27,8,0.965035161097016,0.000104081996400737,1,0
28,8,0.980966762263385,1.69925191782876e-05,0.975609756097561,3.56131131902034e-05
