sample_id,bin_id,sample_bin_id,cell_count,bin_start,bin_end,bin_midpoint,dose,dose_mg,initial_ploidy,n_cells,mean_pseudotime,n_endpoint_ploidy_cells,sample_mean_endpoint_ploidy,sample_median_endpoint_ploidy,sample_max_endpoint_ploidy,sample_mean_endpoint_ploidy_scaled,ETP_fixed_threshold_2_25_group,ETP_boundary_stress_threshold_2_375_group,ETP_reference_balanced_threshold_2_24_group,retained_for_model,exclusion_reason,library_size
2N-A1-LR,3,2N-A1-LR__bin03,3,0.1,0.15000000000000002,0.125,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,FALSE,cell_count<5,237202
2N-A1-LR,4,2N-A1-LR__bin04,4,0.15000000000000002,0.2,0.17500000000000002,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,FALSE,cell_count<5,331455
2N-A1-LR,5,2N-A1-LR__bin05,5,0.2,0.25,0.225,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,TRUE,,276357
2N-A1-LR,6,2N-A1-LR__bin06,6,0.25,0.30000000000000004,0.275,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,TRUE,,24595
2N-A1-LR,7,2N-A1-LR__bin07,7,0.30000000000000004,0.35000000000000003,0.32500000000000007,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,TRUE,,227373
2N-A1-LR,8,2N-A1-LR__bin08,5,0.35000000000000003,0.4,0.375,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,TRUE,,433770
2N-A1-LR,9,2N-A1-LR__bin09,1,0.4,0.45,0.42500000000000004,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,FALSE,cell_count<5,219758
2N-A1-LR,10,2N-A1-LR__bin10,6,0.45,0.5,0.475,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,TRUE,,211972
2N-A1-LR,11,2N-A1-LR__bin11,7,0.5,0.55,0.525,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,TRUE,,301528
2N-A1-LR,12,2N-A1-LR__bin12,6,0.55,0.6000000000000001,0.5750000000000001,0mg/kg,0,2N,125,0.5233218241557482,369,2.2444830683675407,2.250110314757946,2.280229201381545,0.11077584689551144,ETP-lower,ETP-lower,ETP-higher,TRUE,,43302
